"filename", "language", "TypeScript", "Vue", "JavaScript", "CSS", "comment", "blank", "total"
"d:\study\EC\ecFront\src\App.vue", "Vue", 0, -28, 0, 0, 1, -4, -31
"d:\study\EC\ecFront\src\assets\main.css", "CSS", 0, 0, 0, 9, 0, 0, 9
"d:\study\EC\ecFront\src\main.ts", "TypeScript", 8, 0, 0, 0, 0, 3, 11
"d:\study\EC\ecFront\src\pages\components\Footer.vue", "Vue", 0, 27, 0, 0, -3, 5, 29
"d:\study\EC\ecFront\src\pages\components\Header.vue", "Vue", 0, -7, 0, 0, 0, -2, -9
"d:\study\EC\ecFront\src\pages\components\icons\IconCommunity.vue", "Vue", 0, -7, 0, 0, 0, -1, -8
"d:\study\EC\ecFront\src\pages\components\icons\IconDocumentation.vue", "Vue", 0, -7, 0, 0, 0, -1, -8
"d:\study\EC\ecFront\src\pages\components\icons\IconEcosystem.vue", "Vue", 0, -7, 0, 0, 0, -1, -8
"d:\study\EC\ecFront\src\pages\components\icons\IconSupport.vue", "Vue", 0, -7, 0, 0, 0, -1, -8
"d:\study\EC\ecFront\src\pages\components\icons\IconTooling.vue", "Vue", 0, -18, 0, 0, -1, -1, -20
"d:\study\EC\ecFront\src\pages\dialog\CategoryDialog.vue", "Vue", 0, 148, 0, 0, 5, 22, 175
"d:\study\EC\ecFront\src\pages\dialog\CommonDialog.ts", "TypeScript", 21, 0, 0, 0, 0, 6, 27
"d:\study\EC\ecFront\src\pages\views\AboutView.vue", "Vue", 0, 115, 0, 0, 5, 15, 135
"d:\study\EC\ecFront\src\pages\views\HomeView.vue", "Vue", 0, 45, 0, 0, 0, 6, 51
"d:\study\EC\ecFront\src\pages\views\ManagerMenu.vue", "Vue", 0, 34, 0, 0, -1, 6, 39
"d:\study\EC\ecFront\src\quasar\quasar-user-options.js", "JavaScript", 0, 0, 7, 0, 0, 1, 8
"d:\study\EC\ecFront\src\shared\stores\category-store.ts", "TypeScript", -47, 0, 0, 0, -1, -6, -54
"d:\study\EC\ecFront\src\shared\stores\error-response-store.ts", "TypeScript", 38, 0, 0, 0, 0, 3, 41
"d:\study\EC\ecFront\src\shared\stores\goods-store.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 5
"Total", "-", 25, 288, 7, 9, 5, 50, 384