"filename", "language", "TypeScript", "Vue", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"d:\study\EC\ecFront\src\App.vue", "Vue", 0, 29, 0, 0, 0, 4, 6, 39
"d:\study\EC\ecFront\src\assets\base.css", "CSS", 0, 0, 0, 71, 0, 2, 14, 87
"d:\study\EC\ecFront\src\assets\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 1, 2
"d:\study\EC\ecFront\src\assets\main.css", "CSS", 0, 0, 0, 27, 0, 0, 4, 31
"d:\study\EC\ecFront\src\main.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 9, 26
"d:\study\EC\ecFront\src\pages\components\Footer.vue", "Vue", 0, 44, 0, 0, 0, 0, 8, 52
"d:\study\EC\ecFront\src\pages\components\Header.vue", "Vue", 0, 58, 0, 0, 0, 1, 6, 65
"d:\study\EC\ecFront\src\pages\dialog\CategoryDialog.vue", "Vue", 0, 148, 0, 0, 0, 5, 22, 175
"d:\study\EC\ecFront\src\pages\dialog\CommonDialog.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 6, 27
"d:\study\EC\ecFront\src\pages\views\AboutView.vue", "Vue", 0, 129, 0, 0, 0, 5, 17, 151
"d:\study\EC\ecFront\src\pages\views\HomeView.vue", "Vue", 0, 47, 0, 0, 0, 0, 8, 55
"d:\study\EC\ecFront\src\pages\views\ManagerMenu.vue", "Vue", 0, 39, 0, 0, 0, 0, 7, 46
"d:\study\EC\ecFront\src\quasar\quasar-user-options.js", "JavaScript", 0, 0, 7, 0, 0, 0, 1, 8
"d:\study\EC\ecFront\src\router\index.ts", "TypeScript", 29, 0, 0, 0, 0, 9, 3, 41
"d:\study\EC\ecFront\src\shared\api\api-common.ts", "TypeScript", 60, 0, 0, 0, 0, 33, 6, 99
"d:\study\EC\ecFront\src\shared\api\endpoints.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 1, 6
"d:\study\EC\ecFront\src\shared\service\category.service.ts", "TypeScript", 19, 0, 0, 0, 0, 4, 5, 28
"d:\study\EC\ecFront\src\shared\service\goods.service.ts", "TypeScript", 9, 0, 0, 0, 0, 1, 2, 12
"d:\study\EC\ecFront\src\shared\stores\category-store.ts", "TypeScript", 70, 0, 0, 0, 0, 1, 4, 75
"d:\study\EC\ecFront\src\shared\stores\counter.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 3, 25
"d:\study\EC\ecFront\src\shared\stores\error-response-store.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 6, 68
"d:\study\EC\ecFront\src\shared\stores\goods-store.ts", "TypeScript", 57, 0, 0, 0, 0, 1, 4, 62
"Total", "-", 371, 494, 7, 98, 1, 66, 143, 1180